CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-23,7:40:00 PM
ATROPELLO,HERIDOS,CALI-FLORIDA,CANDELARIA,VIERNES,2021-07-23,2:50:00 PM
CHOQUE,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,,2021-07-25,
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-07-26,4:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,3:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,5:15:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-07-28,1:55:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-29,7:55:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-30,7:07:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-07-31,9:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-01,12:10:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MIERCOLES,2021-08-04,8:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-08-04,11:00:00 AM
CHOQUE,DAÑOS,CANDELARIA-FLORIDA,CANDELARIA,VIERNES,2021-08-06,10:00:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-08-06,1:40:00 PM
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,VIERNES,2021-08-06,2:40:00 PM
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,DOMINGO,2021-08-08,12:30:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,DOMINGO,2021-08-08,9:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-08,5:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,5:50:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,7:30:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,5:50:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,4:00:00 PM
ATROPELLO,HERIDOS,CANDELARIA,EL CABUYAL,MIERCOLES,2021-08-11,10:40:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-12,9:10:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-08-13,6:05:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-08-17,6:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,JUEVES,2021-08-19,5:30:00 PM
CHOQUE,HERIDOS,CANDELARIA-CALI,VILLAGORGONA,,2021-08-20,
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-08-21,3:50:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-22,9:10:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-08-23,8:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,,2021-08-25,
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-08-25,5:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-08-25,6:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-08-26,
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-08-26,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-26,10:45:00 AM
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-08-27,7:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-08-28,6:30:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-08-30,10:40:00 AM
OTRO,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-01,4:30:00 PM
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,JUEVES,2021-09-02,9:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,VIERNES,2021-09-03,10:10:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-09-05,5:45:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-06,8:45:00 AM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-06,5:42:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-09-07,10:30:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,LUNES,2021-09-06,11:30:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MARTES,2021-09-07,1:00:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,,2021-09-07,
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-09-08,
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,JUEVES,2021-09-09,6:00:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-09-10,5:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-09-10,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-09-11,11:40:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-09-12,11:37:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-13,5:30:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-09-14,5:15:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-09-15,9:20:00 AM
VOLCAMIENTO,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-09-15,8:52:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-09-18,11:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-20,4:40:00 AM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-20,5:40:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-09-20,3:00:00 PM
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,VIERNES,2021-09-24,10:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-09-27,2:00:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-09-28,1:00:00 PM
CHOQUE,DAÑOS,Via interna,POBLADO CAMPESTRE,MARTES,2021-09-28,8:10:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-09-28,7:24:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,4:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,10:20:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,5:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-09-30,5:20:00 PM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-09-30,6:30:00 AM
CHOQUE,DAÑOS,Via interna,EL CARMELO,VIERNES,2021-10-01,9:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-10-03,3:13:00 AM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-10-03,4:50:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-10-05,1:10:00 PM
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-10-06,6:50:00 PM
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-10-06,7:30:00 PM
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-10-07,5:30:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,VIERNES,2021-10-08,6:30:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-10-09,9:40:00 PM
CHOQUE,HERIDOS,CANDELARIA-CALI,VILLAGORGONA,DOMINGO,2021-10-10,5:25:00 AM
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-10-11,6:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-10-11,3:00:00 PM
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MARTES,2021-10-12,11:50:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-10-14,7:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-10-17,7:30:00 AM
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,DOMINGO,2021-10-17,9:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-19,10:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-10-20,6:40:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-10-21,6:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-10-22,4:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-10-22,5:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-10-23,1:25:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,SABADO,2021-10-23,6:41:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-10-24,10:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-10-24,5:40:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-10-26,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-26,7:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-26,7:59:00 PM
VOLCAMIENTO,HERIDOS,CANDELARIA,EL CARMELO,JUEVES,2021-10-28,9:44:00 AM
CHOQUE,HERIDOS,CANDELARIA-CALI,DOMINGO LARGO,JUEVES,2021-10-28,10:15:00 AM
CHOQUE,DAÑOS,VILLAGORGONA - PALMIRA,CANDELARIA,JUEVES,2021-10-28,1:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-10-29,2:00:00 PM
N/A,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,SABADO,2021-10-30,2:00:00 PM
CHOQUE,HERIDOS,CANDELARIA-CALI,POBLADO CAMPESTRE,SABADO,2021-10-30,10:00:00 AM
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-11-01,11:59:00 AM
ATROPELLO,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-11-03,5:15:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2021-11-03,6:00:00 PM
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,EL ARENAL,VIERNES,2021-11-05,12:15:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,SABADO,2021-11-06,9:40:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-11-07,3:13:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL LAURO,LUNES,2021-11-08,10:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-08,10:15:00 AM
CHOQUE,MUERTOS,CANDELARIA-CALI,CANDELARIA,LUNES,2021-11-08,6:00:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-11-08,
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-11-09,6:20:00 PM
VOLCAMIENTO,DAÑOS,PUERTO TEJADA - PALMIRA,EL CABUYAL,MARTES,2021-11-09,4:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-11-10,7:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-11-10,2:20:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-11-11,9:23:00 AM
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-11-14,9:30:00 PM
CHOQUE,HERIDOS,CANDELARIA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-11-14,5:45:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-11-14,5:40:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-11-15,12:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-11-15,3:00:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-11-15,8:00:00 AM
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-11-16,10:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL LAURO,JUEVES,2021-11-18,1:35:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-11-18,1:00:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-11-18,10:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-11-19,2:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,MARTES,2021-11-23,11:38:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-22,5:30:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-11-24,5:15:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-11-24,
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-11-26,10:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-11-27,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-11-28,7:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-29,10:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-11-29,3:00:00 PM
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,JUEVES,2021-12-02,11:15:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-03,9:10:00 AM
CHOQUE,HERIDOS,CANDELARIA,LA VICTORIA,VIERNES,2021-12-03,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-03,9:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,LA VICTORIA,SABADO,2021-12-04,12:10:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,SABADO,2021-12-04,9:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-12-07,1:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-12-07,2:00:00 PM
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-08,6:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,LA NUBIA,JUEVES,2021-12-09,7:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-10,4:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-12-10,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-12-12,7:30:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-12-14,5:15:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-12-14,1:10:00 PM
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,MARTES,2021-12-14,10:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-12-15,6:20:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-12-15,12:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-15,2:00:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-12-15,5:15:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-12-16,1:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-17,3:00:00 PM
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,SABADO,2021-12-18,7:00:00 AM
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,EL CABUYAL,DOMINGO,2021-12-19,3:13:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-22,7:30:00 PM
CHOQUE,MUERTOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-12-22,9:06:00 AM
VOLCAMIENTO,DAÑOS,CANDELARIA,EL LAURO,JUEVES,2021-12-23,9:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-24,9:10:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-24,12:11:00 PM
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-24,10:00:00 AM
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,VIERNES,2021-12-24,4:20:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-12-26,5:40:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-12-26,5:40:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-12-27,8:20:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,,2021-12-27,
ATROPELLO,MUERTOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-12-28,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,,2021-12-28,
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,MIERCOLES,2021-12-29,3:30:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-12-30,5:15:00 PM
ATROPELLO,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,VIERNES,2021-12-31,9:00:00 PM
CHOQUE,DAÑOS,CANDELARIA-CALI,EL CARMELO,DOMINGO,2022-01-02,11:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,LUNES,2022-01-03,8:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2022-01-04,11:00:00 AM
CHOQUE,HERIDOS,PALMIRA-VILLARICA,EL CABUYAL,DOMINGO,2022-01-09,5:00:00 PM
VOLCAMIENTO,DAÑOS,PALMIRA-VILLARICA,EL ARENAL,LUNES,2022-01-10,10:00:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2022-01-16,11:00:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2022-01-18,1:00:00 PM
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,MARTES,2022-01-18,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2022-01-19,7:00:00 AM
CHOQUE,DAÑOS,CANDELARIA-PALMIRA,CANDELARIA,MIERCOLES,2022-01-19,3:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,LA REGINA,MIERCOLES,2022-01-19,7:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2022-01-19,6:00:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2022-01-24,3:00:00 AM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2022-01-24,8:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2022-01-25,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2022-01-29,5:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,SABADO,2022-01-29,2:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,DOMINGO,2022-01-30,11:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,LA NUBIA,DOMINGO,2022-01-30,1:00:00 AM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2022-01-31,4:00:00 PM
OTRO,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2022-02-01,6:00:00 AM
