CLASE_DE_ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA_SEMANA,FECHA_DE_OCURRENCIA,TIPO_DIA,HORA_OCURRENCIA
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-01-01,Entre semana,01:40:00
CHOQUE,MUERTOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-01-01,Entre semana,15:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-01-03,Fin de semana,17:08:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-01-03,Fin de semana,12:45:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,DOMINGO,2021-01-03,Fin de semana,07:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,LUNES,2021-01-04,Entre semana,11:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,LA REGINA,MARTES,2021-01-05,Entre semana,20:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-01-06,Entre semana,14:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-01-07,Entre semana,15:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-01-07,Entre semana,15:50:00
CHOQUE,HERIDOS,CALI-CANDELARIA,LA REGINA,JUEVES,2021-01-07,Entre semana,19:00:00
OTRO,HERIDOS,PALMIRA-VILLA RICA,EL CABUYAL,VIERNES,2021-01-08,Entre semana,15:00:00
VOLCAMIENTO,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,LUNES,2021-01-11,Entre semana,12:30:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-01-13,Entre semana,05:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-01-14,Entre semana,12:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-01-15,Entre semana,01:45:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-01-16,Fin de semana,13:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-01-16,Fin de semana,13:13:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,TURIN,SABADO,2021-01-16,Fin de semana,04:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,SABADO,2021-01-16,Fin de semana,05:50:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-01-18,Entre semana,13:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-01-19,Entre semana,08:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MARTES,2021-01-19,Entre semana,11:15:00
CHOQUE,HERIDOS,PALMIRA-VILLA RICA,EL LAURO,MARTES,2021-01-19,Entre semana,10:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-01-20,Entre semana,06:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-01-20,Entre semana,05:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-01-20,Entre semana,13:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,JUEVES,2021-01-21,Entre semana,18:00:00
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-01-23,Fin de semana,06:32:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,DOMINGO,2021-01-24,Fin de semana,12:04:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-01-24,Fin de semana,13:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,DOMINGO LARGO,DOMINGO,2021-01-24,Fin de semana,14:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-01-25,Entre semana,08:15:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-01-26,Entre semana,06:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-01-26,Entre semana,05:30:28
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-01-26,Entre semana,16:40:00
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,VIERNES,2021-01-29,Entre semana,06:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-01-30,Fin de semana,09:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-01-30,Fin de semana,13:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-01-31,Fin de semana,14:00:00
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-02-01,Entre semana,20:25:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-02-02,Entre semana,10:20:00
CHOQUE,HERIDOS,CALI-FLORIDA,JUANCHITO,MARTES,2021-02-02,Entre semana,18:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-02-03,Entre semana,07:00:00
OTRO,MUERTOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2021-02-03,Entre semana,15:30:00
VOLCAMIENTO,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,DOMINGO,2021-02-07,Fin de semana,12:33:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,DOMINGO,2021-02-07,Fin de semana,13:50:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-02-10,Entre semana,12:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-02-11,Entre semana,06:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-02-15,Entre semana,06:00:00
CHOQUE,DAÑOS,Via interna,CANDELARIA,LUNES,2021-02-15,Entre semana,07:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-02-15,Entre semana,13:35:00
CHOQUE,DAÑOS,CALI-CANDELARIA,DOMINGO LARGO,MARTES,2021-02-16,Entre semana,
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-02-16,Entre semana,23:35:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-02-17,Entre semana,05:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-02-17,Entre semana,14:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-02-17,Entre semana,11:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-02-17,Entre semana,02:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-02-19,Entre semana,10:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-02-20,Fin de semana,
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-02-20,Fin de semana,05:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-02-21,Fin de semana,22:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-02-22,Entre semana,08:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-02-23,Entre semana,07:20:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MARTES,2021-02-23,Entre semana,13:25:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,BUCHITOLO,MIERCOLES,2021-02-24,Entre semana,07:50:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-02-24,Entre semana,05:25:00
CHOQUE,HERIDOS,CALI-FLORIDA,JUANCHITO,JUEVES,2021-02-25,Entre semana,07:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-02-27,Fin de semana,14:40:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-02-28,Fin de semana,14:00:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-02-28,Fin de semana,20:35:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-03-02,Entre semana,14:10:00
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,MARTES,2021-03-02,Entre semana,16:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-03-03,Entre semana,15:45:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-03-03,Entre semana,21:56:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-03-14,Fin de semana,14:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-06,Fin de semana,10:40:00
CHOQUE,MUERTOS,Via interna,CANDELARIA,SABADO,2021-03-06,Fin de semana,11:28:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-03-08,Entre semana,13:30:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-03-09,Entre semana,16:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-03-10,Entre semana,09:09:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-03-10,Entre semana,21:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-03-11,Entre semana,19:50:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-13,Fin de semana,20:50:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-03-14,Fin de semana,20:03:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-03-14,Fin de semana,10:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,LUNES,2021-03-15,Entre semana,07:03:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-03-17,Entre semana,11:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-17,Entre semana,07:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-17,Entre semana,07:55:00
ATROPELLO,DAÑOS,CALI-FLORIDA,CANDELARIA,JUEVES,2021-03-18,Entre semana,04:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-03-19,Entre semana,12:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-03-20,Fin de semana,00:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-03-20,Fin de semana,08:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,SABADO,2021-03-20,Fin de semana,16:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-03-20,Fin de semana,16:05:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-03-21,Fin de semana,10:15:00
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-03-21,Fin de semana,15:52:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,DOMINGO,2021-03-21,Fin de semana,18:40:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-03-23,Entre semana,19:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-03-25,Entre semana,13:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-03-26,Entre semana,17:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-03-27,Fin de semana,07:05:00
CHOQUE,DAÑOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-03-29,Entre semana,07:23:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-03-30,Entre semana,02:20:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-03-31,Entre semana,07:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-03-31,Entre semana,15:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-03-31,Entre semana,15:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,VIERNES,2021-04-02,Entre semana,14:20:00
CHOQUE,DAÑOS,Via interna,VILLAGORGONA,SABADO,2021-04-03,Fin de semana,08:30:00
CHOQUE,DAÑOS,Via interna,VILLAGORGONA,SABADO,2021-04-03,Fin de semana,20:46:00
Desconocido,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-04-05,Entre semana,06:04:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-04-05,Entre semana,08:45:00
CHOQUE,HERIDOS,CALI-CANDELARIA,LA REGINA,LUNES,2021-04-05,Entre semana,11:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-04-07,Entre semana,11:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-04-06,Entre semana,12:40:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-04-09,Entre semana,12:10:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-04-10,Fin de semana,14:00:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-04-10,Fin de semana,09:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,Fin de semana,09:30:00
CHOQUE,HERIDOS,CANDELARIA,EL LAURO,DOMINGO,2021-04-11,Fin de semana,16:00:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-04-11,Fin de semana,21:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,Fin de semana,21:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-11,Fin de semana,21:40:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL ARENAL,LUNES,2021-04-12,Entre semana,13:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL TIPLE,LUNES,2021-04-12,Entre semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,MARTES,2021-04-13,Entre semana,20:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-04-13,Entre semana,22:10:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MIERCOLES,2021-04-14,Entre semana,14:00:00
ATROPELLO,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-04-14,Entre semana,15:20:00
CHOQUE,HERIDOS,CANDELARIA,SAN JOAQUIN,JUEVES,2021-04-15,Entre semana,06:50:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-04-15,Entre semana,07:40:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-04-15,Entre semana,21:40:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-04-17,Fin de semana,13:10:00
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,DOMINGO,2021-04-18,Fin de semana,12:50:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,LUNES,2021-04-19,Entre semana,09:40:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-04-19,Entre semana,14:30:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-04-20,Entre semana,19:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-20,Entre semana,17:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-04-21,Entre semana,16:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-04-22,Entre semana,06:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-27,Entre semana,07:10:00
CHOQUE,DAÑOS,CANDELARIA,SAN JOAQUIN,VIERNES,2021-04-23,Entre semana,10:20:00
CHOQUE,HERIDOS,CALI-FLORIDA,EL CARMELO,DOMINGO,2021-04-25,Fin de semana,09:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-25,Fin de semana,17:40:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-04-27,Entre semana,16:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-27,Entre semana,19:15:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-05-12,Entre semana,21:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-05-14,Entre semana,14:45:00
CHOQUE,MUERTOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-05-14,Entre semana,14:05:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-05-16,Fin de semana,22:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-05-21,Entre semana,15:30:00
ATROPELLO,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-05-23,Fin de semana,20:20:00
CHOQUE,HERIDOS,CANDELARIA,VILLAGORGONA,MIERCOLES,2021-05-26,Entre semana,15:47:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-05-29,Fin de semana,06:10:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,DOMINGO,2021-05-30,Fin de semana,13:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-06-01,Entre semana,07:40:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-03,Entre semana,11:40:00
VOLCAMIENTO,MUERTOS,CALI-FLORIDA,LA REGINA,VIERNES,2021-06-04,Entre semana,16:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-06-05,Fin de semana,10:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-06-07,Entre semana,21:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-10,Entre semana,13:35:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,JUEVES,2021-06-10,Entre semana,17:15:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,VIERNES,2021-06-11,Entre semana,06:58:00
ATROPELLO,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-06-12,Fin de semana,09:57:00
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,MARTES,2021-06-15,Entre semana,19:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-06-15,Entre semana,05:32:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-06-17,Entre semana,09:23:00
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,VIERNES,2021-06-18,Entre semana,14:15:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-06-21,Entre semana,07:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-06-25,Entre semana,00:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,JUEVES,2021-06-24,Entre semana,07:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-24,Entre semana,21:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-06-25,Entre semana,15:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,SABADO,2021-06-26,Fin de semana,18:00:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-06-26,Fin de semana,16:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-06-28,Entre semana,06:09:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-06-30,Entre semana,06:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-06-30,Entre semana,12:30:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-07-01,Entre semana,09:37:00
ATROPELLO,HERIDOS,CANDELARIA,CANDELARIA,VIERNES,2021-07-02,Entre semana,09:25:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,VIERNES,2021-07-02,Entre semana,08:40:00
CHOQUE,HERIDOS,CANDELARIA,SAN JOAQUIN,SABADO,2021-07-03,Fin de semana,06:30:00
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,SABADO,2021-07-03,Fin de semana,06:46:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,SABADO,2021-07-03,Fin de semana,19:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-07-03,Fin de semana,22:50:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-07-06,Entre semana,12:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-07-07,Entre semana,16:00:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-08,Entre semana,06:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-07-09,Entre semana,12:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,SAN JOAQUIN,DOMINGO,2021-07-11,Fin de semana,14:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,DOMINGO,2021-07-11,Fin de semana,10:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-07-12,Entre semana,12:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-07-14,Entre semana,07:50:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-07-15,Entre semana,15:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,DOMINGO,2021-07-18,Fin de semana,19:40:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,DOMINGO,2021-07-18,Fin de semana,
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,LUNES,2021-07-19,Entre semana,17:45:00
VOLCAMIENTO,HERIDOS,CALI-FLORIDA,CANDELARIA,LUNES,2021-07-19,Entre semana,19:20:00
CHOQUE,HERIDOS,Via interna,POBLADO CAMPESTRE,MARTES,2021-07-20,Entre semana,11:30:00
