CLASE_DE_ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA_SEMANA,FECHA_DE_OCURRENCIA,TIPO_DIA,HORA_OCURRENCIA
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-07-21,Entre semana,15:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-22,Entre semana,17:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-23,Entre semana,19:40:00
ATROPELLO,HERIDOS,CALI-FLORIDA,CANDELARIA,VIERNES,2021-07-23,Entre semana,14:50:00
CHOQUE,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,DOMINGO,2021-07-25,Fin de semana,
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-07-26,Entre semana,16:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,Entre semana,15:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-07-26,Entre semana,17:15:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-07-28,Entre semana,13:55:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-07-29,Entre semana,07:55:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-07-30,Entre semana,07:07:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-07-31,Fin de semana,21:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-01,Fin de semana,12:10:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MIERCOLES,2021-08-04,Entre semana,08:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-08-04,Entre semana,11:00:00
CHOQUE,DAÑOS,CANDELARIA-FLORIDA,CANDELARIA,VIERNES,2021-08-06,Entre semana,10:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-08-06,Entre semana,13:40:00
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,VIERNES,2021-08-06,Entre semana,14:40:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,DOMINGO,2021-08-08,Fin de semana,12:30:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,DOMINGO,2021-08-08,Fin de semana,21:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-08,Fin de semana,17:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,Entre semana,05:50:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-08-09,Entre semana,07:30:00
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,Entre semana,05:50:00
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,MARTES,2021-08-10,Entre semana,16:00:00
ATROPELLO,HERIDOS,CANDELARIA,EL CABUYAL,MIERCOLES,2021-08-11,Entre semana,22:40:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-12,Entre semana,09:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-08-13,Entre semana,06:05:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-08-17,Entre semana,18:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,JUEVES,2021-08-19,Entre semana,17:30:00
CHOQUE,HERIDOS,CANDELARIA-CALI,VILLAGORGONA,VIERNES,2021-08-20,Entre semana,
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-08-21,Fin de semana,03:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-08-22,Fin de semana,09:10:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-08-23,Entre semana,08:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-08-25,Entre semana,
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-08-25,Entre semana,17:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-08-25,Entre semana,18:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,JUEVES,2021-08-26,Entre semana,
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-08-26,Entre semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-08-26,Entre semana,10:45:00
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-08-27,Entre semana,19:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,SABADO,2021-08-28,Fin de semana,06:30:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-08-30,Entre semana,10:40:00
OTRO,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-01,Entre semana,16:30:00
CHOQUE,HERIDOS,CALI-FLORIDA,CANDELARIA,JUEVES,2021-09-02,Entre semana,09:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,VIERNES,2021-09-03,Entre semana,22:10:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-09-05,Fin de semana,17:45:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-06,Entre semana,08:45:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-06,Entre semana,05:42:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-09-07,Entre semana,10:30:00
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,LUNES,2021-09-06,Entre semana,11:30:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MARTES,2021-09-07,Entre semana,13:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,MARTES,2021-09-07,Entre semana,
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-09-08,Entre semana,
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,JUEVES,2021-09-09,Entre semana,18:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-09-10,Entre semana,17:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-09-10,Entre semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-09-11,Fin de semana,11:40:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-09-12,Fin de semana,11:37:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-13,Entre semana,05:30:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-09-14,Entre semana,17:15:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-09-15,Entre semana,09:20:00
VOLCAMIENTO,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-09-15,Entre semana,20:52:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2021-09-18,Fin de semana,11:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-20,Entre semana,04:40:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-09-20,Entre semana,05:40:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2021-09-20,Entre semana,15:00:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,VIERNES,2021-09-24,Entre semana,10:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-09-27,Entre semana,14:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-09-28,Entre semana,13:00:00
CHOQUE,DAÑOS,Via interna,POBLADO CAMPESTRE,MARTES,2021-09-28,Entre semana,08:10:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MARTES,2021-09-28,Entre semana,07:24:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,Entre semana,16:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,Entre semana,10:20:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-09-29,Entre semana,05:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-09-30,Entre semana,17:20:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-09-30,Entre semana,06:30:00
CHOQUE,DAÑOS,Via interna,EL CARMELO,VIERNES,2021-10-01,Entre semana,09:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-10-03,Fin de semana,03:13:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-10-03,Fin de semana,16:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-10-05,Entre semana,13:10:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-10-06,Entre semana,18:50:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-10-06,Entre semana,19:30:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-10-07,Entre semana,05:30:00
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,VIERNES,2021-10-08,Entre semana,06:30:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,SABADO,2021-10-09,Fin de semana,21:40:00
CHOQUE,HERIDOS,CANDELARIA-CALI,VILLAGORGONA,DOMINGO,2021-10-10,Fin de semana,05:25:00
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-10-11,Entre semana,06:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-10-11,Entre semana,15:00:00
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,MARTES,2021-10-12,Entre semana,11:50:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-10-14,Entre semana,19:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,DOMINGO,2021-10-17,Fin de semana,07:30:00
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,DOMINGO,2021-10-17,Fin de semana,21:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-19,Entre semana,10:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-10-20,Entre semana,06:40:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-10-21,Entre semana,06:30:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-10-22,Entre semana,16:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,VIERNES,2021-10-22,Entre semana,17:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-10-23,Fin de semana,01:25:00
CHOQUE,HERIDOS,CALI-FLORIDA,LA REGINA,SABADO,2021-10-23,Fin de semana,18:41:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-10-24,Fin de semana,22:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-10-24,Fin de semana,05:40:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-10-26,Entre semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-26,Entre semana,19:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-10-26,Entre semana,19:59:00
VOLCAMIENTO,HERIDOS,CANDELARIA,EL CARMELO,JUEVES,2021-10-28,Entre semana,09:44:00
CHOQUE,HERIDOS,CANDELARIA-CALI,DOMINGO LARGO,JUEVES,2021-10-28,Entre semana,10:15:00
CHOQUE,DAÑOS,VILLAGORGONA - PALMIRA,CANDELARIA,JUEVES,2021-10-28,Entre semana,13:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-10-29,Entre semana,14:00:00
Desconocido,DAÑOS,PALMIRA-VILLA RICA,CANDELARIA,SABADO,2021-10-30,Fin de semana,14:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,POBLADO CAMPESTRE,SABADO,2021-10-30,Fin de semana,10:00:00
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,LUNES,2021-11-01,Entre semana,11:59:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-11-03,Entre semana,17:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2021-11-03,Entre semana,18:00:00
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,EL ARENAL,VIERNES,2021-11-05,Entre semana,12:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,SABADO,2021-11-06,Fin de semana,21:40:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-11-07,Fin de semana,03:13:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL LAURO,LUNES,2021-11-08,Entre semana,10:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-08,Entre semana,10:15:00
CHOQUE,MUERTOS,CANDELARIA-CALI,CANDELARIA,LUNES,2021-11-08,Entre semana,06:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-11-08,Entre semana,
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-11-09,Entre semana,18:20:00
VOLCAMIENTO,DAÑOS,PUERTO TEJADA - PALMIRA,EL CABUYAL,MARTES,2021-11-09,Entre semana,16:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-11-10,Entre semana,19:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-11-10,Entre semana,14:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,JUEVES,2021-11-11,Entre semana,09:23:00
VOLCAMIENTO,DAÑOS,VILLARICA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-11-14,Fin de semana,21:30:00
CHOQUE,HERIDOS,CANDELARIA-PALMIRA,RIO EL TRIUNFO,DOMINGO,2021-11-14,Fin de semana,17:45:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,DOMINGO,2021-11-14,Fin de semana,05:40:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-11-15,Entre semana,12:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-11-15,Entre semana,15:00:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-11-15,Entre semana,08:00:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-11-16,Entre semana,10:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL LAURO,JUEVES,2021-11-18,Entre semana,13:35:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-11-18,Entre semana,13:00:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,JUEVES,2021-11-18,Entre semana,10:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-11-19,Entre semana,14:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,MARTES,2021-11-23,Entre semana,11:38:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-22,Entre semana,05:30:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL LAURO,MIERCOLES,2021-11-24,Entre semana,17:15:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2021-11-24,Entre semana,
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-11-26,Entre semana,10:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-11-27,Fin de semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-11-28,Fin de semana,07:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,LUNES,2021-11-29,Entre semana,10:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,LUNES,2021-11-29,Entre semana,15:00:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,JUEVES,2021-12-02,Entre semana,11:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-03,Entre semana,09:10:00
CHOQUE,HERIDOS,CANDELARIA,LA VICTORIA,VIERNES,2021-12-03,Entre semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-03,Entre semana,09:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,LA VICTORIA,SABADO,2021-12-04,Fin de semana,12:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,DOMINGO LARGO,SABADO,2021-12-04,Fin de semana,09:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-12-07,Entre semana,13:10:00
CHOQUE,DAÑOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MARTES,2021-12-07,Entre semana,14:00:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-08,Entre semana,18:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,LA NUBIA,JUEVES,2021-12-09,Entre semana,19:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-10,Entre semana,16:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2021-12-10,Entre semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-12-12,Fin de semana,07:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-12-14,Entre semana,17:15:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-12-14,Entre semana,13:10:00
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,MARTES,2021-12-14,Entre semana,10:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2021-12-15,Entre semana,06:20:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,MIERCOLES,2021-12-15,Entre semana,12:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-15,Entre semana,14:00:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,EL CARMELO,MIERCOLES,2021-12-15,Entre semana,17:15:00
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,JUEVES,2021-12-16,Entre semana,13:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-17,Entre semana,15:00:00
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,CANDELARIA,SABADO,2021-12-18,Fin de semana,07:00:00
CHOQUE,HERIDOS,PUERTO TEJADA-PALMIRA,EL CABUYAL,DOMINGO,2021-12-19,Fin de semana,03:13:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2021-12-22,Entre semana,19:30:00
CHOQUE,MUERTOS,CALI-FLORIDA,LA REGINA,MIERCOLES,2021-12-22,Entre semana,09:06:00
VOLCAMIENTO,DAÑOS,CANDELARIA,EL LAURO,JUEVES,2021-12-23,Entre semana,09:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-24,Entre semana,09:10:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-12-24,Entre semana,12:11:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-12-24,Entre semana,10:00:00
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,VIERNES,2021-12-24,Entre semana,16:20:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-12-26,Fin de semana,05:40:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-12-26,Fin de semana,05:40:00
CHOQUE,DAÑOS,CALI-CANDELARIA,EL CARMELO,VIERNES,2021-12-27,Entre semana,08:20:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-12-27,Entre semana,
ATROPELLO,MUERTOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-12-28,Entre semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-12-28,Entre semana,
CHOQUE,DAÑOS,CANDELARIA,EL CABUYAL,MIERCOLES,2021-12-29,Entre semana,15:30:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-12-30,Entre semana,17:15:00
ATROPELLO,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,VIERNES,2021-12-31,Entre semana,21:00:00
CHOQUE,DAÑOS,CANDELARIA-CALI,EL CARMELO,DOMINGO,2022-01-02,Fin de semana,23:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,LUNES,2022-01-03,Entre semana,08:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2022-01-04,Entre semana,11:00:00
CHOQUE,HERIDOS,PALMIRA-VILLARICA,EL CABUYAL,DOMINGO,2022-01-09,Fin de semana,17:00:00
VOLCAMIENTO,DAÑOS,PALMIRA-VILLARICA,EL ARENAL,LUNES,2022-01-10,Entre semana,22:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2022-01-16,Fin de semana,23:00:00
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2022-01-18,Entre semana,13:00:00
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,MARTES,2022-01-18,Entre semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2022-01-19,Entre semana,07:00:00
CHOQUE,DAÑOS,CANDELARIA-PALMIRA,CANDELARIA,MIERCOLES,2022-01-19,Entre semana,15:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,LA REGINA,MIERCOLES,2022-01-19,Entre semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,POBLADO CAMPESTRE,MIERCOLES,2022-01-19,Entre semana,06:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2022-01-24,Entre semana,03:00:00
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,LUNES,2022-01-24,Entre semana,08:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2022-01-25,Entre semana,14:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2022-01-29,Fin de semana,17:00:00
